Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,829300
2021-01-05,50.0,50.0,50.0,50.0,50.0,191800
2021-01-06,50.0,50.0,50.0,50.0,50.0,56000
2021-01-07,50.0,50.0,50.0,50.0,50.0,19800
2021-01-08,50.0,50.0,50.0,50.0,50.0,11279700
2021-01-11,50.0,50.0,50.0,50.0,50.0,346300
2021-01-12,50.0,50.0,50.0,50.0,50.0,8000
2021-01-13,50.0,50.0,50.0,50.0,50.0,52300
2021-01-14,50.0,50.0,50.0,50.0,50.0,1449700
2021-01-15,50.0,50.0,50.0,50.0,50.0,41300
2021-01-18,50.0,50.0,50.0,50.0,50.0,3562300
2021-01-19,50.0,50.0,50.0,50.0,50.0,1816500
2021-01-20,50.0,50.0,50.0,50.0,50.0,5831300
2021-01-21,50.0,50.0,50.0,50.0,50.0,12183700
2021-01-22,50.0,50.0,50.0,50.0,50.0,655100
2021-01-25,50.0,50.0,50.0,50.0,50.0,175200
2021-01-26,50.0,50.0,50.0,50.0,50.0,47500
2021-01-27,50.0,50.0,50.0,50.0,50.0,3800
2021-01-28,50.0,50.0,50.0,50.0,50.0,14400
2021-01-29,50.0,50.0,50.0,50.0,50.0,104500
2021-02-01,50.0,50.0,50.0,50.0,50.0,20200
2021-02-02,50.0,50.0,50.0,50.0,50.0,139600
2021-02-03,50.0,50.0,50.0,50.0,50.0,26100
2021-02-04,50.0,50.0,50.0,50.0,50.0,352200
2021-02-05,50.0,50.0,50.0,50.0,50.0,23100
2021-02-08,50.0,50.0,50.0,50.0,50.0,2023900
2021-02-09,50.0,50.0,50.0,50.0,50.0,311400
2021-02-10,50.0,50.0,50.0,50.0,50.0,1645700
2021-02-11,50.0,50.0,50.0,50.0,50.0,19400
2021-02-15,50.0,50.0,50.0,50.0,50.0,4665800
2021-02-16,50.0,50.0,50.0,50.0,50.0,1978100
2021-02-17,50.0,50.0,50.0,50.0,50.0,3031300
2021-02-18,50.0,50.0,50.0,50.0,50.0,461500
2021-02-19,50.0,50.0,50.0,50.0,50.0,1573900
2021-02-22,50.0,50.0,50.0,50.0,50.0,288800
2021-02-23,50.0,50.0,50.0,50.0,50.0,65100
2021-02-24,50.0,50.0,50.0,50.0,50.0,5111600
2021-02-25,50.0,50.0,50.0,50.0,50.0,138800
2021-02-26,50.0,50.0,50.0,50.0,50.0,210300
2021-03-01,50.0,50.0,50.0,50.0,50.0,6732800
2021-03-02,50.0,50.0,50.0,50.0,50.0,5171700
2021-03-03,50.0,50.0,50.0,50.0,50.0,2837800
2021-03-04,50.0,50.0,50.0,50.0,50.0,84100
2021-03-05,50.0,50.0,50.0,50.0,50.0,78600
2021-03-08,50.0,50.0,50.0,50.0,50.0,331200
2021-03-09,50.0,50.0,50.0,50.0,50.0,42300
2021-03-10,50.0,50.0,50.0,50.0,50.0,251800
2021-03-12,50.0,50.0,50.0,50.0,50.0,73500
2021-03-15,50.0,50.0,50.0,50.0,50.0,299400
2021-03-16,50.0,50.0,50.0,50.0,50.0,159200
2021-03-17,50.0,50.0,50.0,50.0,50.0,1813600
2021-03-18,50.0,50.0,50.0,50.0,50.0,357100
2021-03-19,50.0,50.0,50.0,50.0,50.0,434000
2021-03-22,50.0,50.0,50.0,50.0,50.0,1472400
2021-03-23,50.0,50.0,50.0,50.0,50.0,57500
2021-03-24,50.0,50.0,50.0,50.0,50.0,1707100
2021-03-25,50.0,50.0,50.0,50.0,50.0,109300
2021-03-26,50.0,50.0,50.0,50.0,50.0,226100
2021-03-29,50.0,50.0,50.0,50.0,50.0,203000
2021-03-30,50.0,50.0,50.0,50.0,50.0,17600
2021-03-31,50.0,50.0,50.0,50.0,50.0,160600
2021-04-01,50.0,50.0,50.0,50.0,50.0,80600
2021-04-05,50.0,50.0,50.0,50.0,50.0,23400
2021-04-06,50.0,50.0,50.0,50.0,50.0,34400
2021-04-07,50.0,50.0,50.0,50.0,50.0,22800
2021-04-08,50.0,50.0,50.0,50.0,50.0,56700
2021-04-09,50.0,50.0,50.0,50.0,50.0,58400
2021-04-12,50.0,50.0,50.0,50.0,50.0,310900
2021-04-13,50.0,50.0,50.0,50.0,50.0,2431000
2021-04-14,50.0,50.0,50.0,50.0,50.0,1328000
2021-04-15,50.0,50.0,50.0,50.0,50.0,89600
2021-04-16,50.0,50.0,50.0,50.0,50.0,102700
2021-04-19,50.0,50.0,50.0,50.0,50.0,1289500
2021-04-20,50.0,50.0,50.0,50.0,50.0,1300000
2021-04-21,50.0,50.0,50.0,50.0,50.0,7800
2021-04-22,50.0,50.0,50.0,50.0,50.0,12800
2021-04-23,50.0,50.0,50.0,50.0,50.0,118800
2021-04-26,50.0,50.0,50.0,50.0,50.0,10700
2021-04-27,50.0,50.0,50.0,50.0,50.0,76800
2021-04-28,50.0,50.0,50.0,50.0,50.0,300000
2021-04-30,50.0,50.0,50.0,50.0,50.0,15400
2021-05-03,50.0,50.0,50.0,50.0,50.0,292900
2021-05-04,50.0,50.0,50.0,50.0,50.0,18700
2021-05-05,50.0,50.0,50.0,50.0,50.0,29800
2021-05-06,50.0,50.0,50.0,50.0,50.0,140900
2021-05-07,50.0,50.0,50.0,50.0,50.0,1100
2021-05-10,50.0,50.0,50.0,50.0,50.0,18000
2021-05-11,50.0,50.0,50.0,50.0,50.0,17100
2021-05-17,50.0,50.0,50.0,50.0,50.0,117500
2021-05-19,50.0,50.0,50.0,50.0,50.0,1017300
2021-05-20,50.0,50.0,50.0,50.0,50.0,54900
2021-05-21,50.0,50.0,50.0,50.0,50.0,20000
2021-05-24,50.0,50.0,50.0,50.0,50.0,161300
2021-05-25,50.0,50.0,50.0,50.0,50.0,24700
2021-05-27,50.0,50.0,50.0,50.0,50.0,912100
2021-05-28,50.0,50.0,50.0,50.0,50.0,19200
2021-05-31,50.0,50.0,50.0,50.0,50.0,500
2021-06-02,50.0,50.0,50.0,50.0,50.0,697200
2021-06-03,50.0,50.0,50.0,50.0,50.0,96100
2021-06-04,50.0,50.0,50.0,50.0,50.0,7900
2021-06-07,50.0,50.0,50.0,50.0,50.0,67200
2021-06-08,50.0,50.0,50.0,50.0,50.0,3400
2021-06-09,50.0,50.0,50.0,50.0,50.0,101400
2021-06-10,50.0,50.0,50.0,50.0,50.0,6600
2021-06-11,50.0,50.0,50.0,50.0,50.0,127300
2021-06-14,50.0,50.0,50.0,50.0,50.0,9500
2021-06-15,50.0,50.0,50.0,50.0,50.0,18200
2021-06-17,50.0,50.0,50.0,50.0,50.0,2500
2021-06-21,50.0,50.0,50.0,50.0,50.0,5400
2021-06-23,50.0,50.0,50.0,50.0,50.0,17000
2021-06-24,50.0,50.0,50.0,50.0,50.0,16200
2021-06-25,50.0,50.0,50.0,50.0,50.0,13600
2021-06-28,50.0,50.0,50.0,50.0,50.0,15900
2021-06-30,50.0,50.0,50.0,50.0,50.0,7200
2021-07-01,50.0,50.0,50.0,50.0,50.0,25500
2021-07-05,50.0,50.0,50.0,50.0,50.0,6200
2021-07-06,50.0,50.0,50.0,50.0,50.0,600
2021-07-07,50.0,50.0,50.0,50.0,50.0,2400
2021-07-08,50.0,50.0,50.0,50.0,50.0,10800
2021-07-09,50.0,50.0,50.0,50.0,50.0,10900
2021-07-12,50.0,50.0,50.0,50.0,50.0,7400
2021-07-13,50.0,50.0,50.0,50.0,50.0,2000
2021-07-15,50.0,50.0,50.0,50.0,50.0,213300
2021-07-16,50.0,50.0,50.0,50.0,50.0,700
2021-07-19,50.0,50.0,50.0,50.0,50.0,300
2021-07-21,50.0,50.0,50.0,50.0,50.0,200
2021-07-26,50.0,50.0,50.0,50.0,50.0,4600
2021-07-27,50.0,50.0,50.0,50.0,50.0,1200
2021-07-28,50.0,50.0,50.0,50.0,50.0,20300
2021-07-29,50.0,50.0,50.0,50.0,50.0,7500
2021-08-02,50.0,50.0,50.0,50.0,50.0,10400
2021-08-04,50.0,50.0,50.0,50.0,50.0,148000
2021-08-05,50.0,50.0,50.0,50.0,50.0,189400
2021-08-06,50.0,50.0,50.0,50.0,50.0,31100
2021-08-09,50.0,50.0,50.0,50.0,50.0,12100
2021-08-10,50.0,50.0,50.0,50.0,50.0,3200
2021-08-12,50.0,50.0,50.0,50.0,50.0,1800
2021-08-18,50.0,50.0,50.0,50.0,50.0,2900
2021-08-19,50.0,50.0,50.0,50.0,50.0,1219400
2021-08-20,50.0,50.0,50.0,50.0,50.0,4000
2021-08-24,50.0,50.0,50.0,50.0,50.0,6100
2021-08-25,50.0,50.0,50.0,50.0,50.0,25000
2021-08-26,50.0,50.0,50.0,50.0,50.0,13700
2021-08-30,50.0,50.0,50.0,50.0,50.0,7700
2021-08-31,50.0,50.0,50.0,50.0,50.0,4500
2021-09-01,50.0,50.0,50.0,50.0,50.0,112200
2021-09-03,50.0,50.0,50.0,50.0,50.0,7300
2021-09-06,50.0,50.0,50.0,50.0,50.0,13300
2021-09-07,50.0,50.0,50.0,50.0,50.0,10200
2021-09-08,50.0,50.0,50.0,50.0,50.0,13200
2021-09-09,50.0,50.0,50.0,50.0,50.0,18100
2021-09-10,50.0,50.0,50.0,50.0,50.0,107800
2021-09-14,50.0,50.0,50.0,50.0,50.0,29600
2021-09-15,50.0,50.0,50.0,50.0,50.0,16100
2021-09-16,50.0,50.0,50.0,50.0,50.0,43500
2021-09-17,50.0,50.0,50.0,50.0,50.0,9200
2021-09-20,50.0,50.0,50.0,50.0,50.0,37000
2021-09-22,50.0,50.0,50.0,50.0,50.0,4100
2021-09-23,50.0,50.0,50.0,50.0,50.0,52800
2021-09-27,50.0,50.0,50.0,50.0,50.0,31500
2021-09-28,50.0,50.0,50.0,50.0,50.0,676700
2021-09-30,50.0,50.0,50.0,50.0,50.0,113800
2021-10-01,50.0,50.0,50.0,50.0,50.0,134800
2021-10-04,50.0,50.0,50.0,50.0,50.0,128800
2021-10-05,50.0,50.0,50.0,50.0,50.0,19300
2021-10-06,50.0,50.0,50.0,50.0,50.0,9000
2021-10-07,50.0,50.0,50.0,50.0,50.0,3300
2021-10-08,50.0,50.0,50.0,50.0,50.0,16800
2021-10-11,50.0,50.0,50.0,50.0,50.0,6900
2021-10-12,50.0,50.0,50.0,50.0,50.0,19600
2021-10-13,50.0,50.0,50.0,50.0,50.0,215800
2021-10-15,50.0,50.0,50.0,50.0,50.0,258300
2021-10-18,50.0,50.0,50.0,50.0,50.0,162900
2021-10-19,50.0,50.0,50.0,50.0,50.0,5600
2021-10-21,50.0,50.0,50.0,50.0,50.0,228700
2021-10-22,50.0,50.0,50.0,50.0,50.0,299800
2021-10-25,50.0,50.0,50.0,50.0,50.0,6800
2021-10-26,50.0,50.0,50.0,50.0,50.0,54700
2021-10-27,50.0,50.0,50.0,50.0,50.0,213200
